Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
ABEV,AMBEV ADR REPRESENTING ONE SA,Consumer Staples,Equity,72816084.46,1.89,72816084.46,25371458,2.87,Brazil,NYSE,USD,1,USD,-
AC.MX,ARCA CONTINENTAL,Consumer Staples,Equity,33634104.45,0.87,33634104.45,2940856,11.44,Mexico,Bolsa Mexicana De Valores,USD,17.03,MXN,-
AMXB.MX,AMERICA MOVIL B,Communication,Equity,123838516.68,3.21,123838516.68,107557004,1.15,Mexico,Bolsa Mexicana De Valores,USD,17.03,MXN,-
AXIA3.SA,AXIA ENERGIA SA,Utilities,Equity,68547039.28,1.78,68547039.28,6685401,10.25,Brazil,XBSP,USD,5.18,BRL,-
B3SA3.SA,B3 BRASIL BOLSA BALCAO SA,Financials,Equity,94182193.29,2.44,94182193.29,30082559,3.13,Brazil,XBSP,USD,5.18,BRL,-
BAP,CREDICORP LTD,Financials,Equity,148413943.16,3.85,148413943.16,405082,366.38,Peru,NYSE,USD,1,USD,-
BBAS3.SA,BANCO DO BRASIL SA,Financials,Equity,68379221.15,1.77,68379221.15,17080958,4,Brazil,XBSP,USD,5.18,BRL,-
BBD,BANCO BRADESCO ADR REPTG PREF,Financials,Equity,103395440,2.68,103395440,31523000,3.28,Brazil,NYSE,USD,1,USD,-
BIMBOA.MX,GRUPO BIMBO A,Consumer Staples,Equity,28429496.94,0.74,28429496.94,8183294,3.47,Mexico,Bolsa Mexicana De Valores,USD,17.03,MXN,-
BSAC,BANCO SANTANDER CHILE ADR REPRESEN,Financials,Equity,32118035,0.83,32118035,924260,34.75,Chile,NYSE,USD,1,USD,-
CEMEXCPO.MX,CEMEX CPO,Materials,Equity,97060476.08,2.52,97060476.08,90235514,1.08,Mexico,Bolsa Mexicana De Valores,USD,17.03,MXN,-
CENCOSUD.SN,CENCOSUD,Consumer Staples,Equity,15449947.79,0.4,15449947.79,7374625,2.1,Chile,Santiago Stock Exchange,USD,933.65,CLP,-
CHILE.SN,BANCO DE CHILE,Financials,Equity,57111789.14,1.48,57111789.14,276998111,0.21,Chile,Santiago Stock Exchange,USD,933.65,CLP,-
CIB,GRUPO CIBEST AMERICAN DEPOSITARY S,Financials,Equity,63031170.6,1.63,63031170.6,655755,96.12,Colombia,NYSE,USD,1,USD,-
EC,ECOPETROL ADR REPRESENTING SA,Energy,Equity,24560077.7,0.64,24560077.7,1473310,16.67,Colombia,NYSE,USD,1,USD,-
FALABELLA.SN,FALABELLA SACI,Consumer Discretionary,Equity,32579792.11,0.84,32579792.11,4922000,6.62,Chile,Santiago Stock Exchange,USD,933.65,CLP,-
FEMSAUBD.MX,FOMENTO ECONOMICO MEXICANO,Consumer Staples,Equity,120009774.86,3.11,120009774.86,9963356,12.05,Mexico,Bolsa Mexicana De Valores,USD,17.03,MXN,-
FUNO11.MX,FIBRA UNO ADMINISTRACION REIT,Real Estate,Equity,28197346.16,0.73,28197346.16,16385246,1.72,Mexico,Bolsa Mexicana De Valores,USD,17.03,MXN,-
GCARSOA1.MX,GRUPO CARSO SERIES A1,Industrials,Equity,26329696.82,0.68,26329696.82,3211416,8.2,Mexico,Bolsa Mexicana De Valores,USD,17.03,MXN,-
GFNORTEO.MX,GPO FINANCE BANORTE,Financials,Equity,162965927.06,4.22,162965927.06,14421714,11.3,Mexico,Bolsa Mexicana De Valores,USD,17.03,MXN,-
GGB,GERDAU SA ADR REPRESENTING PREF,Materials,Equity,34897838.3,0.9,34897838.3,7570030,4.61,Brazil,NYSE,USD,1,USD,-
GMEXICOB.MX,GRUPO MEXICO B,Materials,Equity,255932494.54,6.63,255932494.54,18658467,13.72,Mexico,Bolsa Mexicana De Valores,USD,17.03,MXN,-
ISA.CL,INTERCONEXION ELECTRICA SA,Utilities,Equity,23346486.32,0.61,23346486.32,2634071,8.86,Colombia,Bolsa De Valores De Colombia,USD,3220.03,COP,-
ITSA4.SA,ITAUSA INVESTIMENTOS ITAU PREF SA,Financials,Equity,87640936.88,2.27,87640936.88,34660318,2.53,Brazil,XBSP,USD,5.18,BRL,-
ITUB,ITAU UNIBANCO HOLDING ADR REP PRE,Financials,Equity,245378331.56,6.36,245378331.56,32244196,7.61,Brazil,NYSE,USD,1,USD,-
LTM,LATAM AIRLINES GROUP,Industrials,Equity,38949602.97,1.01,38949602.97,1507674215,0.03,Chile,Santiago Stock Exchange,USD,933.65,CLP,-
NU,NU HOLDINGS CLASS A,Financials,Equity,332982526.35,8.63,332982526.35,22885397,14.55,Brazil,NYSE,USD,1,USD,-
PAC,GRUPO AEROPORTUARIO DEL PACIFICO A,Industrials,Equity,50120672.28,1.3,50120672.28,243257,206.04,Mexico,NYSE,USD,1,USD,-
PBR,PETROLEO BRASILEIRO ADR REPTG SA,Energy,Equity,214609302,5.56,214609302,11090920,19.35,Brazil,NYSE,USD,1,USD,-
PBRAN.MX,PETROLEO BRASILEIRO ADR REPTG PRE,Energy,Equity,228794931.6,5.93,228794931.6,13149134,17.4,Brazil,NYSE,USD,1,USD,-
RDOR3.SA,REDE DOR SAO LUIZ SA,Health Care,Equity,40663640.4,1.05,40663640.4,5988351,6.79,Brazil,XBSP,USD,5.18,BRL,-
RENT3.SA,LOCALIZA RENT A CAR,Industrials,Equity,34989764.38,0.91,34989764.38,5168947,6.77,Brazil,XBSP,USD,5.18,BRL,-
SBSP3.SA,COMPANHIA DE SANEAMENTO BASICO DE,Utilities,Equity,68688035.82,1.78,68688035.82,14076700,4.88,Brazil,XBSP,USD,5.18,BRL,-
SCCO,SOUTHERN COPPER CORP,Materials,Equity,105127612.92,2.73,105127612.92,503316,208.87,Peru,NYSE,USD,1,USD,-
SQM,SOCIEDAD QUIMICA Y MINERA DE CHILE,Materials,Equity,67265479.54,1.74,67265479.54,851354,79.01,Chile,NYSE,USD,1,USD,-
TIGO,MILLICOM INTERNATIONAL CELLULAR,Communication,Equity,54311042.56,1.41,54311042.56,579256,93.76,Sweden,NASDAQ,USD,1,USD,-
VALE,VALE ADR REPRESENTING ONE,Materials,Equity,315458004.27,8.18,315458004.27,20905103,15.09,Brazil,NYSE,USD,1,USD,-
VIV,TELEFONICA BRASIL ADS REPRESENTING,Communication,Equity,25569755,0.66,25569755,2215750,11.54,Brazil,NYSE,USD,1,USD,-
WALMEX.MX,WALMART DE MEXICO V,Consumer Staples,Equity,79587640.61,2.06,79587640.61,28797977,2.76,Mexico,Bolsa Mexicana De Valores,USD,17.03,MXN,-
WEGE3.SA,WEG,Industrials,Equity,84769249.31,2.2,84769249.31,8757179,9.68,Brazil,XBSP,USD,5.18,BRL,-
