fullset0 -- avg val RS: -0.62035, avg train RS: 1.40275, avg val RS change: -0.00066, avg train RS change: 0.00391, epoch: 500
fullset1 -- avg val RS: -0.32409, avg train RS: 1.30275, avg val RS change: 0.00019, avg train RS change: 0.00195, epoch: 500
fullset2 -- avg val RS: -0.23693, avg train RS: 1.50537, avg val RS change: 4e-05, avg train RS change: 0.00115, epoch: 500
fullset3 -- avg val RS: -0.55545, avg train RS: 1.39041, avg val RS change: 0.00051, avg train RS change: 0.00068, epoch: 500
fullset4 -- avg val RS: -0.21087, avg train RS: 1.33069, avg val RS change: -0.00019, avg train RS change: 0.00058, epoch: 500
fullset5 -- avg val RS: 0.00294, avg train RS: 1.28791, avg val RS change: 0.0013, avg train RS change: 0.00034, epoch: 500
fullset6 -- avg val RS: -0.47723, avg train RS: 1.20893, avg val RS change: -0.00056, avg train RS change: 0.00031, epoch: 500
fullset7 -- avg val RS: -0.55839, avg train RS: 1.16145, avg val RS change: 0.00036, avg train RS change: 0.00033, epoch: 500
fullset8 -- avg val RS: 0.07345, avg train RS: 1.14465, avg val RS change: 0.00035, avg train RS change: 0.00018, epoch: 500
fullset9 -- avg val RS: -0.52811, avg train RS: 1.12485, avg val RS change: -0.00075, avg train RS change: 5e-05, epoch: 500
fullset10 -- avg val RS: -0.22464, avg train RS: 1.0189, avg val RS change: -0.00027, avg train RS change: -4e-05, epoch: 500
fullset11 -- avg val RS: -0.00374, avg train RS: 1.00273, avg val RS change: -0.00024, avg train RS change: 0.00015, epoch: 500
fullset12 -- avg val RS: -0.61872, avg train RS: 0.92962, avg val RS change: -0.00026, avg train RS change: 0.00023, epoch: 500
fullset13 -- avg val RS: -0.36599, avg train RS: 0.98391, avg val RS change: -0.00063, avg train RS change: 0.00017, epoch: 500
fullset14 -- avg val RS: -0.33016, avg train RS: 0.99235, avg val RS change: -0.00059, avg train RS change: 0.00012, epoch: 500
fullset15 -- avg val RS: -0.13161, avg train RS: 0.96797, avg val RS change: -0.00042, avg train RS change: -3e-05, epoch: 500
fullset16 -- avg val RS: -0.02974, avg train RS: 0.93814, avg val RS change: 0.00097, avg train RS change: 6e-05, epoch: 500
fullset17 -- avg val RS: -0.33742, avg train RS: 0.85637, avg val RS change: -0.00032, avg train RS change: 4e-05, epoch: 500
fullset18 -- avg val RS: -0.46058, avg train RS: 0.833, avg val RS change: -0.00055, avg train RS change: 5e-05, epoch: 500
fullset19 -- avg val RS: -0.29633, avg train RS: 0.7751, avg val RS change: -0.00097, avg train RS change: 1e-05, epoch: 500
fullset20 -- avg val RS: -0.11896, avg train RS: 0.81066, avg val RS change: 0.00017, avg train RS change: 4e-05, epoch: 315
fullset21 -- avg val RS: -0.33749, avg train RS: 0.76676, avg val RS change: -0.00023, avg train RS change: -1e-05, epoch: 500
fullset22 -- avg val RS: -0.68205, avg train RS: 0.75065, avg val RS change: 1e-05, avg train RS change: 9e-05, epoch: 500
fullset23 -- avg val RS: -0.49484, avg train RS: 0.73839, avg val RS change: 0.00047, avg train RS change: 7e-05, epoch: 500
