fullset0 -- avg val RS: -0.56299, avg train RS: 1.26548, avg val RS change: -0.00076, avg train RS change: 0.00418, epoch: 500
fullset1 -- avg val RS: -0.45036, avg train RS: 1.11639, avg val RS change: 7e-05, avg train RS change: 0.00163, epoch: 500
fullset2 -- avg val RS: -0.32436, avg train RS: 1.15351, avg val RS change: -0.00015, avg train RS change: 0.00043, epoch: 500
fullset3 -- avg val RS: -0.47872, avg train RS: 1.11483, avg val RS change: 0.00031, avg train RS change: 0.00084, epoch: 500
fullset4 -- avg val RS: 0.15729, avg train RS: 1.24005, avg val RS change: -0.00029, avg train RS change: 0.0004, epoch: 500
fullset5 -- avg val RS: -0.38861, avg train RS: 1.21906, avg val RS change: -0.00027, avg train RS change: 0.0005, epoch: 500
fullset6 -- avg val RS: -0.35772, avg train RS: 1.18903, avg val RS change: 0.00047, avg train RS change: 0.00025, epoch: 500
fullset7 -- avg val RS: -0.05087, avg train RS: 1.15214, avg val RS change: 0.00039, avg train RS change: 0.0004, epoch: 500
fullset8 -- avg val RS: 0.12219, avg train RS: 1.17758, avg val RS change: -0.00061, avg train RS change: 0.00019, epoch: 500
fullset9 -- avg val RS: -0.17799, avg train RS: 1.12751, avg val RS change: -0.00031, avg train RS change: 0.00012, epoch: 500
fullset10 -- avg val RS: -0.20731, avg train RS: 1.07546, avg val RS change: 0.00049, avg train RS change: 0.00021, epoch: 500
fullset11 -- avg val RS: -0.21795, avg train RS: 1.03837, avg val RS change: 0.00023, avg train RS change: 0.0003, epoch: 500
fullset12 -- avg val RS: -0.40462, avg train RS: 0.96693, avg val RS change: 0.00026, avg train RS change: 0.00013, epoch: 500
fullset13 -- avg val RS: -0.32792, avg train RS: 1.00367, avg val RS change: 0.00052, avg train RS change: 0.00017, epoch: 500
fullset14 -- avg val RS: -0.02513, avg train RS: 0.96635, avg val RS change: 0.0008, avg train RS change: 7e-05, epoch: 500
fullset15 -- avg val RS: -0.22694, avg train RS: 0.94194, avg val RS change: 0.00063, avg train RS change: 0.00021, epoch: 500
fullset16 -- avg val RS: -0.09821, avg train RS: 0.9637, avg val RS change: 3e-05, avg train RS change: 0.00021, epoch: 500
fullset17 -- avg val RS: -0.52697, avg train RS: 0.92879, avg val RS change: -0.00034, avg train RS change: 0.00015, epoch: 500
fullset18 -- avg val RS: -0.41092, avg train RS: 0.90282, avg val RS change: -0.00094, avg train RS change: 0.0002, epoch: 500
fullset19 -- avg val RS: -0.1985, avg train RS: 0.91633, avg val RS change: 0.00038, avg train RS change: 9e-05, epoch: 500
fullset20 -- avg val RS: -0.28402, avg train RS: 0.87521, avg val RS change: -9e-05, avg train RS change: 0.00017, epoch: 500
fullset21 -- avg val RS: -0.52043, avg train RS: 0.82335, avg val RS change: -0.00023, avg train RS change: 0.00012, epoch: 500
fullset22 -- avg val RS: -0.13408, avg train RS: 0.86824, avg val RS change: 0.00014, avg train RS change: 0.00015, epoch: 500
fullset23 -- avg val RS: 0.04809, avg train RS: 0.81745, avg val RS change: 0.00015, avg train RS change: 9e-05, epoch: 500
